wikidata_id,musicbrainz_id,name,parent_wikidata_id,parent_name,level,children_direct,descendants_total,display_rule,epoch_year,origin,bpm_min,bpm_max,parent_choice,wikidata_parents_raw,wikipedia_links
Q24885387,36cdb9a1-a19e-4c8f-a887-c451e71cca46,juke,Q2748817,ghetto house,4,0,0,ring,1997,,,,single,ghetto house,0
Q1585015,9c5052e0-36ff-4b92-9447-58f44ffdf682,hard house,Q20502,house music,3,2,2,ring,1992,United Kingdom,,,single,hard dance | house music,15
Q106522190,7c42bdd8-e8c6-42d4-930b-02f04abc9f8a,scouse house,Q1585015,hard house,4,0,0,ring,1998,,,,single,hard house,0
Q28458027,d3a28fe9-40f8-47d7-8fe9-b741307f5b49,hardbass,Q1585015,hard house,4,0,0,ring,2001,Russia,,,single,pumping house,25
Q949369,62e4c7cb-a2b3-462b-8d96-1b0d66ee6cf3,funky house,Q20502,house music,3,0,0,ring,1993,,,,single,house music,16
Q598593,1f9c4b4a-c43d-40bd-b806-357153641fd0,tech house,Q20502,house music,3,2,2,ring,1993,Spain · United States,,,single,house music,17
Q112829330,82c2ef18-d28a-48fa-992e-793328bcc117,deep tech,Q598593,tech house,4,0,0,ring,2009,,,,single,tech house,0
Q122474257,d706c066-a33d-49e8-ad7e-d456234854f7,rominimal,Q598593,tech house,4,0,0,ring,,,,,single,minimal house | tech house,0
Q1455292,5acda04e-995d-4f79-9a66-5fe6a977ce15,French house,Q20502,house music,3,0,0,ring,1995,France · United Kingdom,,,single,house music,28
Q1931555,bbce54eb-a477-4b23-ac81-d3b9aac43756,microhouse,Q20502,house music,3,0,0,ring,1996,Europe,,,single,house music | minimal EDM,12
Q5071702,5c1976f4-700b-4737-95a6-fee0fa0a8442,changa tuki,Q20502,house music,3,0,0,ring,1997,Venezuela,,,single,Latin electronic music | house music,3
Q627906,05247982-e44f-4c58-96f8-a5453be69f5f,electro house,Q20502,house music,3,5,6,ring,1997,Europe · Netherlands,,,single,house music,29
Q113493820,bb55e7aa-ec06-4605-b867-ee66938713e1,French electro,Q627906,electro house,4,0,0,ring,2000,,,,single,electro house,0
Q2365784,60cbcb55-852b-4329-9392-30a697802b71,fidget house,Q627906,electro house,4,0,0,ring,2005,,,,single,electro house,5
Q1228230,7201af41-f0f5-4b21-b09b-d0bf86e7b3e6,Dutch house,Q627906,electro house,4,1,1,ring,2007,,,,single,electro house,8
Q130301602,54bfae60-074c-484d-90c4-260135823190,noiadance,Q1228230,Dutch house,5,0,0,ring,,,,,single,Brazilian funk | Dutch house,0
Q11691380,d20c40f8-935f-43f3-80cb-b65857abb7fc,complextro,Q627906,electro house,4,0,0,ring,2008,,,,single,electro house,5
Q20047305,ffb5811c-7e3c-4807-82ef-4caec5167344,Melbourne bounce,Q627906,electro house,4,0,0,ring,2011,Australia,,,single,electro house,6
Q956717,8894628d-7f01-4936-913f-949fcf6ae91b,kwaito,Q20502,house music,3,1,1,ring,1998,South Africa,,,single,house music | music of South Africa,19
Q135369460,5144fcc9-6cc7-471f-ab78-565e57b77192,bacardi,Q956717,kwaito,4,0,0,ring,,,,,single,kwaito,0
Q108321657,d5c8b95a-fcf6-4c1d-b98c-a7cb4efb494f,jackin' house,Q20502,house music,3,0,0,ring,2001,,,,single,house music,1
Q108297203,9ae2e708-136a-4954-8ec0-9ba13eae5e35,bubbling house,Q20502,house music,3,0,0,ring,2002,,,,single,house music,0
Q388100,07041357-bba4-415f-8b9b-5423ae05f907,Afro house,Q20502,house music,3,1,1,ring,2005,South Africa,,,single,house music,7
Q127606394,99032cf7-a4e3-40ac-b943-293b44b9a65b,3-step,Q388100,Afro house,4,0,0,ring,2018,,,,single,Afro house,0
