wikidata_id,file,author,license,license_url,status
Q1345756,Primordial RudE 2024 24.jpg,S. Bollmann,Attribution,,ok
Q1345932,StrappingYoungLad.jpg,Tribute to Flame Fest 2006,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q1346345,Galt MacDermot 1972.jpg,AP,Public domain,,ok
Q1346896,"London Mela 2010, Panjabi MC crop.jpg",Loz Pycock,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,ok
Q1347072,Keb' Mo'.PNG,KellyK,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,ok
Q1347095,Ricky Skaggs jams with OCMS at the Grand Ole Opry 23 Feb 2013.JPG,Mark Cattell,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,ok
Q1347215,Lefty Frizzell Columbia publicity - cropped.jpg,Columbia Records,Public domain,,ok
Q1347250,Kid Koala 2008 Vancouver.jpg,Ryanhray (talk),Public domain,,ok
Q13476175,Lorde Glasto2025-9 (cropped).jpg,Raph_PH,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,ok
Q13476301,Anitta for Attractive Mindset podcast 02.jpg,Attractive Mindset,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,ok
Q1347695,Webb Pierce.jpg,Decca Records.,Public domain,,ok
Q1348291,"Job For A Cowboy Mayhem Fest Hartford, CT (2).jpg",Victoria Morse,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,ok
Q1348695,HelloGoodbye at 2007 MyCoke Fest in Atlanta3.JPG,Daniel Mayer,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,ok
Q1349298,"Alger ""Texas"" Alexander.png",Unknown author,Public domain,,ok
Q1349627,Kirk Franklin at JoyFest '17 (cropped).jpg,CL Holly,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q134969,"R.E.M. at Stadio Euganeo, Padova, Italy, 2003-07-22 04.jpg",Stefano,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,ok
Q1349876,Photek photo by Faria Raji.jpg,Faria Raji,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,ok
Q1351122,Eric B & Rakim press photo 1987.jpg,Waring Abbott; distributed by Island Records,Public domain,,ok
Q1351126,NBrandwein.jpg,Unknown author,Public domain,,ok
Q1351424,Kmfdm live in 2011.jpg,Whalen647,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,ok
Q1351604,Marshall-jefferson-cropped-2013.jpg,TheArches,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q1352007,"José Alfredo Jiménez (exposición compositores, CDMX) (cropped).jpg",Juan Carlos Fonseca Mata,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,ok
Q1352724,LukeVibert.jpg,"shootingsawk from Paris, France",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q1353426,The Shirelles 1962.jpg,Scepter Records-from Scepter Records' Billboard ad which has no copyright marks.,Public domain,,ok
Q1353720,2014-08-30 Turock Shadows Fall 23.jpg,Achim Raschka (talk),CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,ok
Q1353806,Kelly van Soest1.jpg,MissBeertje,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,ok
Q1354827,Praha Zbraslav - Jaromir Vejvoda.jpg,Matěj Baťha,CC BY-SA 2.5,https://creativecommons.org/licenses/by-sa/2.5,ok
Q1355154,Madeon (color corrected).png,Guillaume Highwire (photo); User:Di (they-them) (color correction),CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,ok
Q1355916,GOA-GIL-5.jpg,Crocodile2020,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,ok
Q1356404,"Ernest John Moeran, 1937.png","File:Arnold_Bax,_E.J._Moeran,_Tilly_Fleischmann,_Kinsale,_Cork_1937.jpg",CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,ok
Q1356737,Ernesto Djédjé dansant.jpg,Manouka,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,ok
Q1356808,Ernestonazareth2.jpg,,,,no credit
Q1356912,ErnieK-doe1996.jpg,Masahiro Sumori,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,ok
Q1356920,URoy2021.png,Incalum,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,ok
Q1357035,Vybz Kartel at Freedom Street concert.jpg,Pelpa Time Production,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,ok
Q135794,Z-Ro cropped.jpg,Arthur Smart,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,ok
Q13580495,"BTS during a White House press conference May 31, 2022 (cropped).jpg",The White House,Public domain,,ok
Q1358175,Refused no Optimus Alive.jpg,Bene Riobó,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,ok
Q135932234,Ace Ventura (Musician).jpg,Ekaterina is a cat,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,ok
Q1359424,Mount Kimbie (2013).jpg,Das Kraftfuttermischwerk,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q13605596,TravisScott-byPhilipRomano.jpg,PhilipRomano,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,ok
Q1360643,Trans-Siberian Orchestra 4.jpg,informant,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q1360931,Jerry Rivera en Acceso Total (cropped).jpg,Lunchbox LP,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q1361146,Cramps1982-07.jpg,Canada Jack aka Jeremy Gilbert,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,ok
Q1361543,Sunny Day Real Estate 2010.jpg,total13,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q1361546,Los Panchos en 1954 (cropped).jpg,Asociación Nacional de Actores,Public domain,,ok
Q1362139,Graveworm RockTheLake2007 01.jpg,Cecil,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,ok
Q1362482,Kultur Shock at Bumbershoot 2007 07.jpg,Joe Mabel,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,ok
Q1363881,Hans-Peter Lindstrom live 2011.jpg,Harald Grönstrand,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q1364197,Compositor Jhonny Pacheco.jpg,Hykso623,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,ok
Q1364657,Pretty Things Photo Ph.BRIZARD.jpg,Philippe BRIZARD,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,ok
Q1364766,"Minutemen, 1982.jpg",UCLA Library Special Collections,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q1365130,Kaya Salome.JPG,VisualKeiFan,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,ok
Q1365306,Wolfbrigade Party.San Metal Open Air 2016 04.jpg,S. Bollmann,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,ok
Q1365889,Bird Smile.jpg,KanavaroT,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,ok
Q136591,"ZZ Top performing in San Antonio, Texas 2015.jpg",Ralph Arvesen,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q1366223,John O'Callaghan (musician).jpg,Alexander Reshnya,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,ok
Q1368192,Espers1.jpg,Hendrik Dacquin,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q1369304,"Pete Rugolo, ca. Dec. 1946 (William P. Gottlieb).jpg",William P. Gottlieb,Public domain,,ok
Q137042,Nat King Cole (Gottlieb 01511).jpg,William P. Gottlieb,Public domain,,ok
Q1370642,Robert Glasper.jpg,Ed Newman,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q1371393,Tony Allen mg 6469.jpg,Rama,CC BY-SA 2.0 fr,https://creativecommons.org/licenses/by-sa/2.0/fr/deed.en,ok
Q137368542,IMG Madzibaba VIP-Attire.jpg,TimesonexJiggaJ,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,ok
Q1374215,Rex Allen and Koko 1952.jpg,"Mother's Cookies, San Diego, CA.",Public domain,,ok
Q1375576,Tom Zé in São Paulo.jpg,"Sérgio Savarese from Sao Paulo City / Ipiranga, Brasil",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q1377134,Graham Parker-07182010.jpg,SusanLesch,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,ok
Q1377199,Poncho Sanchez performing at Jazz Cruise 2014.jpg,"Jeff Dunn from St. Clair Shores, MI, USA",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q1377317,Francesco Balilla Pratella.jpg,AnonymousUnknown author,Public domain,,ok
Q137769,Hellfest2019FuManchu 02.jpg,Selbymay,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,ok
Q1377724,Sweet Female Attitude Live at Cardiff University in 2017.jpg,Lee Bailey,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,ok
Q137804,2005-10-13 Yat-Kha Live in Frankfurt.jpg,No machine-readable author provided. Alex Ex assumed (based on copyright claims).,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,ok
Q1378050,Pop Will Eat Itself - Thekla May 2015 (18036439280).jpg,"Steve Watkins from Bromsgrove, United Kingdom",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q1378892,Franco Luambo Makiadi.jpg,"unknown, Ngoma",Public domain,,ok
Q1379688,Evan Ziporyn (5912102613).jpg,"Jon Hurd from Boulder, Colorado, USA",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q1380845,И.А.Вышнеградский в Париже.jpg,Unknown author,Public domain,,ok
Q1382101,Streetlight Manifesto 02-17-05.jpg,The original uploader was MPerdomo at English Wikipedia.,CC BY-SA 2.5,https://creativecommons.org/licenses/by-sa/2.5,ok
Q1382357,Quicksilver Messenger Service 1970.JPG,Capitol Records,Public domain,,ok
Q1382405,Eyal Golan 1 (cropped).jpg,Tal Abudi,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,ok
Q1382418,Orhan Gencebay 2023.jpg,Satirdan kahraman,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,ok
Q1382570,Mose Allison.jpg,Mattb4310 (en.wp user),CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,ok
Q1382642,Sigh at Jaxx.jpg,Chris,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q1383367,Exaltasamba 2010.jpg,"Sergio Savarese from Sao Paulo City / Ipiranga, Brasil",CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,ok
Q1383448,Excel Classic Formation.jpg,Lord Ozzy,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,ok
Q1383552,Exciter Party.San Metal Open Air 2018 29.jpg,S. Bollmann,Attribution,,ok
Q1383759,Exhorder Rockharz 2023 12 (cropped).jpg,S. Bollmann,Attribution,,ok
Q1383840,"Michael Franks, 2019.jpg",J. Milton® LIVE 'The Concert Whisperer' 🎼,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,ok
Q1383970,"Giorgos Mazonakis, Live at Fantasia Live Stage Summer 2014.jpg",Fwtistilk,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,ok
Q1384772,Expose 1990 Grammys.jpg,Alan Light,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q1385721,"Jme, UK MC .jpg",Hendrix Nash,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,ok
Q1386740,Titonieves.jpg,chispy2,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q1386899,Guy Clark at the 2009 Newport Folk Festival.jpg,"William Wallace from Austin, TX, USA",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,ok
Q1386995,The-Chiffons.jpg,Christian Carrasco,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,ok
