wikidata_id,name,kind,start,country,genres,photo_file,photo_author,photo_license,photo_license_url
Q950309,The B-52's,group,1976,United States,Q187760|Q106654134,The B-52's (1980 Warner publicity photo).jpg,Lynn Goldsmith; Distributed by Warner Bros. Records,Public domain,
Q951170,Strike Anywhere,group,1999,United States,Q542703,"Strike Anywhere, Taipei 2-28-07.jpg",camilo gomez from Taipei,CC BY 2.0,https://creativecommons.org/licenses/by/2.0
Q951819,Scratch Acid,group,1982,United States,Q131535243,Scratch Acid Union Transfer 2011 01.jpg,Vladimir,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0
Q952337,Hooverphonic,group,1995,Belgium,Q205560,Hooverphonic Atlas Weekend 2019.jpg,Anntinomy,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0
Q952468,Sentenced,group,1989,Finland,Q178145,"Sentenced, Wacken Open Air 2005.jpg",Ester,Public domain,
Q952965,Carlos Paredes,person,1939,Portugal,Q5141514,Carlos Paredes.jpg,Bottelho,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0
Q953083,I See Stars,group,2006,United States,Q2084353,I See Stars Warped 2010.jpg,http://en.wikipedia.org/wiki/User:Krazycev13,CC BY 3.0,https://creativecommons.org/licenses/by/3.0
Q953117,Olga Guillot,person,1945,Cuba,Q15830404|Q489913,Olga guillot.jpg,Callelinea,Public domain,
Q953450,Seu Jorge,person,1998,Brazil,Q834959,Seu Jorge.jpg,"José Goulão from Lisbon, Portugal",CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0
Q953918,Mumford & Sons,group,2007,United Kingdom,Q11700058|Q123421101,"Mumford & Sons, performing at Aviemore, Scotland 2015.jpg","Stefan Schäfer, Lich",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0
