genre,parent
http://www.wikidata.org/entity/Q57143,http://www.wikidata.org/entity/Q12326776
http://www.wikidata.org/entity/Q58339,http://www.wikidata.org/entity/Q45981
http://www.wikidata.org/entity/Q58339,http://www.wikidata.org/entity/Q11787389
http://www.wikidata.org/entity/Q59158,http://www.wikidata.org/entity/Q1770695
http://www.wikidata.org/entity/Q62128,http://www.wikidata.org/entity/Q1770695
http://www.wikidata.org/entity/Q63885,http://www.wikidata.org/entity/Q3071
http://www.wikidata.org/entity/Q63885,http://www.wikidata.org/entity/Q6452410
http://www.wikidata.org/entity/Q69596,http://www.wikidata.org/entity/Q1770695
http://www.wikidata.org/entity/Q70076,http://www.wikidata.org/entity/Q685884
http://www.wikidata.org/entity/Q70076,http://www.wikidata.org/entity/Q1770695
http://www.wikidata.org/entity/Q70076,http://www.wikidata.org/entity/Q6821898
http://www.wikidata.org/entity/Q76092,http://www.wikidata.org/entity/Q11399
http://www.wikidata.org/entity/Q76092,http://www.wikidata.org/entity/Q65937876
http://www.wikidata.org/entity/Q81105,http://www.wikidata.org/entity/Q184485
http://www.wikidata.org/entity/Q81105,http://www.wikidata.org/entity/Q106654247
http://www.wikidata.org/entity/Q82469,http://www.wikidata.org/entity/Q5151790
http://www.wikidata.org/entity/Q82469,http://www.wikidata.org/entity/Q107819512
http://www.wikidata.org/entity/Q178145,http://www.wikidata.org/entity/Q12326776
http://www.wikidata.org/entity/Q180268,http://www.wikidata.org/entity/Q6452410
http://www.wikidata.org/entity/Q180853,http://www.wikidata.org/entity/Q118738876
http://www.wikidata.org/entity/Q181010,http://www.wikidata.org/entity/Q105513
http://www.wikidata.org/entity/Q181014,http://www.wikidata.org/entity/Q9730
http://www.wikidata.org/entity/Q181014,http://www.wikidata.org/entity/Q186393
http://www.wikidata.org/entity/Q181014,http://www.wikidata.org/entity/Q207628
http://www.wikidata.org/entity/Q181861,http://www.wikidata.org/entity/Q11399
http://www.wikidata.org/entity/Q181861,http://www.wikidata.org/entity/Q726239
http://www.wikidata.org/entity/Q181897,http://www.wikidata.org/entity/Q8341
http://www.wikidata.org/entity/Q181897,http://www.wikidata.org/entity/Q185652
http://www.wikidata.org/entity/Q181999,http://www.wikidata.org/entity/Q141085413
http://www.wikidata.org/entity/Q183016,http://www.wikidata.org/entity/Q8341
http://www.wikidata.org/entity/Q183016,http://www.wikidata.org/entity/Q54365
http://www.wikidata.org/entity/Q183504,http://www.wikidata.org/entity/Q11366
http://www.wikidata.org/entity/Q183504,http://www.wikidata.org/entity/Q42201
