wikidata_id,musicbrainz_id,name,parent_wikidata_id,parent_name,level,children_direct,descendants_total,display_rule,epoch_year,origin,group,bpm_min,bpm_max,parent_choice,wikidata_parents_raw,wikipedia_links,featured,family_shape,family_hue
Q512410,ab01fbff-c7da-462a-93a9-71ad62b64d80,qawwali,Q1770695,Hindustani classical music,3,0,0,ring,1450,India · Pakistan,DEVOTIONAL & LIGHT,,,single,Hindustani classical music | Sufi music | music of India,43,,,
Q70076,dbfada72-0ef2-4af9-bc0d-04065e0c5f3d,tappa,Q1770695,Hindustani classical music,3,0,0,ring,1700,India,DHRUPAD & KHYAL,,,single,Hindustani classical music | semi-classical music | vocal music,13,,,
Q2641862,6e319459-3520-4079-8755-d8c9f35ce78e,Abhang,Q1770695,Hindustani classical music,3,0,0,ring,,,DEVOTIONAL & LIGHT,,,single,Hindustani classical music,18,,,
Q59158,10bcaf1c-cd46-46be-b8f8-ffd321a117fb,dhrupad,Q1770695,Hindustani classical music,3,0,0,ring,,,DHRUPAD & KHYAL,,,single,Hindustani classical music,17,,,
Q62128,b8bf0e96-4961-488b-a5f7-4cfbb9afa17c,Khyal,Q1770695,Hindustani classical music,3,0,0,ring,,,DHRUPAD & KHYAL,,,single,Hindustani classical music,15,,,
Q6419747,d6630bbd-65a3-4a13-9727-f4100695dc49,Klasik,Q1770695,Hindustani classical music,3,0,0,ring,,Afghanistan,DEVOTIONAL & LIGHT,,,single,Hindustani classical music | music of Afghanistan,1,,,
Q3981034,b4ed04e9-3f9c-45b3-acd4-e99e0cbc4625,tarana,Q1770695,Hindustani classical music,3,0,0,ring,,India,DHRUPAD & KHYAL,,,single,Hindustani classical music,7,,,
Q69596,47d61cdb-55c0-4220-b420-8903afe0a1a1,Thumri,Q1770695,Hindustani classical music,3,0,0,ring,,India,DEVOTIONAL & LIGHT,,,single,Hindustani classical music,17,,,
Q106586236,9a8b5ca4-6a47-4ede-8c6f-90ce1ce3d2bd,Japanese classical music,Q1583807,art music,1,8,10,ring,,,EAST ASIAN COURT & THEATRE,,,single,East Asian classical music | traditional Japanese music,0,,,
Q3129432,6e8856fb-0a15-4351-ad74-7a1d4cbe7211,heikyoku,Q106586236,Japanese classical music,2,0,0,ring,,,,,,attach,katarimono | traditional Japanese music,2,,,
Q3075498,bfc4294e-6815-4664-a176-8083e5e47e91,Honkyoku,Q106586236,Japanese classical music,2,0,0,ring,,,,,,single,Buddhist music | Japanese classical music,7,,,
Q11162353,5c9bb85f-55df-4731-91b7-05df7c16d0ca,jiuta,Q106586236,Japanese classical music,2,0,0,ring,,,,,,attach,early modern Japanese music | utaimono,6,,,
Q112144219,732422d2-a6c6-4e97-88a9-8bb9929eec09,meiji shinkyoku,Q106586236,Japanese classical music,2,0,0,ring,,,,,,single,Japanese classical music,0,,,
Q3080963,db22cff9-df8e-4a6a-83f2-a8093bf6c488,nagauta,Q106586236,Japanese classical music,2,0,0,ring,,,,,,attach,early modern Japanese music | utaimono,10,,,
Q7497655,4f022b0d-6194-4fa1-a1e9-24d8e2f16263,shinkyoku,Q106586236,Japanese classical music,2,0,0,ring,,,,,,attach,music of Japan,2,,,
Q1760256,66d59e9f-d88e-4cf1-9e4f-8b6d448d0aff,shōmyō,Q106586236,Japanese classical music,2,0,0,ring,,,,,,single,Buddhist chant | Japanese classical music,10,,,
Q11603109,c9a21345-203f-4752-9fc9-a23b16e6fdc6,sokyoku,Q106586236,Japanese classical music,2,2,2,ring,,,,,,single,Japanese classical music,1,,,
Q5219995,5e48886e-fead-450d-8433-8e9f3e3ad3cf,Danmono,Q11603109,sokyoku,3,0,0,ring,,,,,,single,sokyoku,1,,,
Q109012701,e487f5a9-dc24-4b25-896c-13b1b23eb423,kumiuta,Q11603109,sokyoku,3,0,0,ring,,,,,,single,sokyoku,0,,,
Q1361891,ebbbccc1-4aaf-40ac-9dc1-99e42b621988,jōruri,Q1583807,art music,1,0,0,ring,,,EAST ASIAN COURT & THEATRE,,,attach,early modern Japanese music | theatre music,14,,,
Q6346110,3036a015-750f-412a-8b6f-deb5602518e0,Kafi,Q1583807,art music,1,0,0,ring,,,SACRED TRADITIONS > ISLAMIC & SUFI,,,attach,Sufi music,10,,,
Q1348260,6c80d463-476c-4260-986a-4d35599b9952,Kagura,Q1583807,art music,1,0,0,ring,,Japan,"SACRED TRADITIONS > HINDU, BUDDHIST & TAOIST",,,attach,Shinto music,25,,,
Q6365528,3f2875dd-4f53-41a0-95fe-a19a21a06a72,kanto,Q1583807,art music,1,0,0,ring,,,STAGE & CABARET,,,attach,music of Turkey | musical theater,2,,,
Q124399721,60ada19f-c6af-49db-8fbf-3479e70f6689,kete,Q1583807,art music,1,0,0,ring,,,OTHER CLASSICAL TRADITIONS,,,single,Akan music | art music,0,,,
Q1337498,b317f591-53dd-402f-9b4f-54c91a19f1f7,Kontakion,Q1583807,art music,1,0,0,ring,,,SACRED TRADITIONS > CHRISTIAN,,,attach,Christian hymn,27,,,
