wikidata_id,name,kind,start,country,image,sitelinks
Q1441466,Francis Dhomont,person,1926,France,,6
Q191408,Francis Poulenc,person,1899,France,Francis Poulenc and Wanda Landowska (cropped).jpg,57
Q10284562,Francisco Alves,person,1918,Brazil,"Francisco Alves, sem data.tif",5
Q526424,Francisco Canaro,person,1906,Argentina,Francisco Canaro.JPG,20
Q768718,Francisco Correa de Araujo,person,1584,Crown of Castile,Francisco Correa de Araujo (1626) Libro de tientos y discursos de musica practica y theoríca de organo.png,14
Q5866998,Francisco Palaviccini,person,1912,El Salvador,,4
Q5483929,Francisco Santiago,person,1889,Philippines,Francisco Santiago Chicago.jpg,6
Q10285239,Francisco Xavier da Cruz,person,1895,,,4
Q3082337,Francky Vincent,person,1975,France,Franky Vincent.jpg,8
Q25147,Franco Battiato,person,1967,Italy,Franco Battiato - 23 July 2010 - 05 (cropped).jpg,41
Q1383390,Franco of Cologne,person,1300,Germany,,14
Q3751549,Franco Ricciardi,person,1966,Italy,Franco Ricciardi 2014.jpg,4
Q3082582,Frank Domínguez,person,1927,Cuba,,4
Q105440,Frank Kvitta,person,1981,Germany,Frank18.jpg,2
Q1022071,Frank Nagai,person,1955,Japan,Frank Nagai.jpg,7
Q357645,Frank Ocean,person,2005,United States,Frank Ocean 2022 Blonded.jpg,53
Q1648306,Frank Reyes,person,1991,Dominican Republic,Frank Reyes.jpg,6
Q40912,Frank Sinatra,person,1935,Italy,Frank Sinatra '57.jpg,136
Q8962695,Frank Wilson,person,1965,United States,,6
Q127330,Frank Zappa,person,1955,United States,Zappa.jpg,110
Q205322,Frankie Knuckles,person,1970,United States,"Frankie Knuckles at The Mighty (SF), 2012 -2.jpg",31
Q711406,Frankie Ruiz,person,1971,United States,Frankie Ruiz (80s & 90s).jpg,13
Q150272,Frankie Yankovic,person,1915,United States,Frank Yankovic 1958.JPG,10
Q607838,Frans Bauer,person,1994,Kingdom of the Netherlands,Fransbauer.jpg,9
Q173180,Franz Ferdinand,group,2002,United Kingdom,Franz Ferdinand.jpg,60
Q77745,Franz Josef Degenhardt,person,1963,Germany,Franz Josef Degenhardt (1987) by Guenter Prust.jpg,15
Q41309,Franz Liszt,person,1830,Austria–Hungary,FLisztFXD.jpg,127
Q7312,Franz Schubert,person,1810,Austrian Empire,Franz Schubert by Wilhelm August Rieder 1875 larger version.png,173
Q20235,Franzl Lang,person,1957,Germany,Franzl Lang (cropped).jpg,25
Q1450908,François Bayle,person,1932,France,Psconcer.jpg,12
Q50186,François Couperin,person,1668,France,François Couperin.jpg,58
Q53939,Françoise Hardy,person,1962,France,Francoise hardy 1964.jpg,61
Q64009886,Fred Again,person,2010,United Kingdom,Fred Again 2025 (cropped).jpg,15
Q1452334,Fred Hammond,person,1985,United States,,5
Q5495583,Fred Jewell,person,1875,,,3
Q964219,Fred McDowell,person,1926,United States,Mississippi Fred McDowell.jpg,20
Q983329,Freddie Aguilar,person,1973,Philippines,Freddie- aguilar.jpg,24
Q1246237,Freddie Gibbs,person,2003,United States,MadGibbs2014 (cropped).jpg,20
Q346762,Freddie Hubbard,person,1958,United States,Freddie Hubbard 1976.jpg,35
Q5496741,Freddie Jackson,person,1979,United States,FreddieJackson2019.png,11
Q436209,Freddie King,person,1952,United States,Freddie King 1975 6.jpg,33
Q1452648,Freddy Fender,person,1957,United States,Freddy Fender singing in 1977.jpg,16
Q466120,Freddy Quinn,person,1953,Austria,Freddy Quinn (1977).jpg,31
Q312698,Frederick Delius,person,1862,United Kingdom,Frederich Delius portrait (5427720404) (cropped).jpg,38
Q13107451,Fredo Santana,person,2011,United States,,16
Q45650,Free,group,1972,United Kingdom,FreeWinwood1970.jpg,27
Q1429224,Freeez,group,1981,United Kingdom,,7
Q2384799,Freestylers,group,1996,United Kingdom,,7
Q5588,Frida Kahlo,person,1907,Mexico,"Frida Kahlo, by Guillermo Kahlo (cropped).jpg",200
Q213900,Friedrich Hollaender,person,1896,Germany,Friedrich Hollaender (cropped).jpg,16
Q5505351,From Ashes Rise,group,1997,United States,,5
Q527787,Front 242,group,1981,Belgium,Front242 3.jpg,19
Q1470010,Front Line Assembly,group,1986,Canada,FrontLineAssembly.jpg,18
